room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
658808,3322575,Private room,,Strowan,100,5.0,2,1.0,71.0,1.0,-43.501378,172.608208,2016-08-19 21:30:14.030666
6483499,29973513,Private room,,St Albans East,21,5.0,1,1.0,22.0,7.0,-43.512174,172.633793,2016-08-19 21:30:07.422538
10071294,28992903,Entire home/apt,,Sockburn,10,4.5,5,3.0,112.0,1.0,-43.533539,172.551854,2016-08-19 21:29:52.041002
9454870,48995796,Entire home/apt,,St Albans West,35,5.0,4,2.0,135.0,2.0,-43.516383,172.624901,2016-08-19 21:29:48.671582
8848097,46333734,Private room,,St Albans West,6,5.0,2,1.0,45.0,1.0,-43.512624,172.628678,2016-08-19 21:29:40.916969
10927728,32927997,Entire home/apt,,Avon Loop,0,,4,2.0,111.0,3.0,-43.523072,172.640056,2016-08-19 21:29:37.894774
8640014,45424461,Private room,,Avonhead,63,5.0,2,1.0,68.0,1.0,-43.521634,172.557765,2016-08-19 21:29:34.919254
13832603,12097349,Entire home/apt,,Avon Loop,9,5.0,2,1.0,64.0,1.0,-43.529148,172.643786,2016-08-19 21:29:25.645217
13268014,41579348,Private room,,Strowan,1,,2,1.0,50.0,2.0,-43.503294,172.608255,2016-08-19 21:29:25.148590
13628306,865273,Private room,,Redwood North,0,,2,1.0,37.0,1.0,-43.475377,172.624423,2016-08-19 21:29:19.092699
9015847,448129,Private room,,Mona Vale,13,5.0,2,1.0,60.0,2.0,-43.527108,172.604419,2016-08-19 21:29:12.756485
8465817,29973513,Private room,,Addington,7,4.5,1,1.0,25.0,2.0,-43.544927,172.624672,2016-08-19 21:29:06.862067
2920256,14908770,Private room,,Addington,32,5.0,2,1.0,60.0,2.0,-43.543475,172.616975,2016-08-19 21:29:02.510772
14471822,89191145,Entire home/apt,,Avon Loop,0,,2,1.0,103.0,3.0,-43.523505,172.635797,2016-08-19 21:28:56.824853
13101880,72801917,Private room,,Richmond North,0,,2,1.0,37.0,1.0,-43.512356,172.658591,2016-08-19 21:28:56.185315
14426368,88753106,Entire home/apt,,Governors Bay,0,,4,1.0,60.0,1.0,-43.653941,172.634339,2016-08-19 21:28:52.352065
14075391,84371561,Private room,,Westburn,0,,1,1.0,22.0,1.0,-43.510444,172.567285,2016-08-19 21:28:45.350690
7604566,4599856,Entire home/apt,,Cathedral Square,66,5.0,2,1.0,128.0,1.0,-43.532743,172.636694,2016-08-19 21:28:42.884542
8993137,46974382,Private room,,Cashmere West,10,5.0,2,1.0,53.0,1.0,-43.569779,172.630414,2016-08-19 21:28:40.033572
10969566,55183024,Entire home/apt,,Oaklands West,4,5.0,16,8.0,30.0,1.0,-43.570145,172.559093,2016-08-19 21:28:28.175333
4680718,24205506,Entire home/apt,,Merivale,15,4.5,4,2.0,142.0,2.0,-43.520206,172.621745,2016-08-19 21:28:21.810218
11802922,45791350,Entire home/apt,,Ensors,0,,7,4.0,119.0,2.0,-43.546691,172.663165,2016-08-19 21:28:16.815694
12072968,1368723,Private room,,Mairehau North,2,,2,1.0,41.0,1.0,-43.490425,172.656204,2016-08-19 21:28:14.840642
